Nodes : 23434  Edges : 22911
Highest degree : 113  Highest weight : 103
Id : visa4europetrip  Deg : 1  Max weight : [('visa4europetrip', 24)]
Id : kelzss0  Deg : 32  Max weight : [('_hnd19', 14), ('FouDuVillage', 18), ('kelzss0', 14)]
Id : HansVdbogaerde  Deg : 27  Max weight : [('librarianbe', 17)]
Id : tom_debet  Deg : 4  Max weight : [('tom_debet', 12)]
Id : abbasjuniior  Deg : 6  Max weight : [('PasRyn17', 15)]
Id : PasRyn17  Deg : 19  Max weight : [('abbasjuniior', 15), ('loubnaa_zhr', 13), ('PasRyn17', 16)]
Id : FFeys  Deg : 18  Max weight : [('TWenseleers', 18)]
Id : ArabiannWomen  Deg : 6  Max weight : [('H_sakuraaaa', 15)]
Id : labisssh  Deg : 19  Max weight : [('ycb931080', 13)]
Id : _bonyoma  Deg : 19  Max weight : [('CDians12', 12)]
Id : moumoux2_0  Deg : 18  Max weight : [('cestadil', 11)]
Id : Hsk_Dimeh  Deg : 2  Max weight : [('tasoeurstp', 17)]
Id : vatosantos99  Deg : 20  Max weight : [('Lancienneee', 11), ('vatosantos99', 48), ('_kimonidas', 15)]
Id : Eclipse_Sabrina  Deg : 17  Max weight : [('Eclipse_Sabrina', 16)]
Id : MichaelCdepr  Deg : 1  Max weight : [('DjeeDeeBee', 14)]
Id : Aymane893  Deg : 11  Max weight : [('ycb931080', 17), ('Fred_tsb', 11)]
Id : ycb931080  Deg : 15  Max weight : [('Aymane893', 17), ('labisssh', 13)]
Id : Orko95410095  Deg : 18  Max weight : [('Bendebillmiyom', 17), ('senayksl_', 12)]
Id : Wasjuki  Deg : 2  Max weight : [('krasnoselskikhM', 20)]
Id : cestadil  Deg : 8  Max weight : [('moumoux2_0', 11), ('ya_Erikaaa', 11)]
Id : iam_rifiaaa  Deg : 2  Max weight : [('n1iiss', 11)]
Id : zapata_emilano  Deg : 15  Max weight : [('zapata_emilano', 14)]
Id : BlacknowanSng  Deg : 24  Max weight : [('sweetlxuu', 38), ('sara_sarria', 24)]
Id : sweetlxuu  Deg : 1  Max weight : [('BlacknowanSng', 38)]
Id : ins_qlf  Deg : 1  Max weight : [('lbnaa__', 27)]
Id : haltin831  Deg : 7  Max weight : [('JIPU6IOF4Pr9HPT', 11)]
Id : Lachenbe  Deg : 20  Max weight : [('Lachenbe', 14)]
Id : lmhfss  Deg : 6  Max weight : [('mikasadl', 17)]
Id : JoostVF  Deg : 1  Max weight : [('Karl_Drabbe', 12)]
Id : noahdemaret  Deg : 16  Max weight : [('noahdemaret', 52)]
Id : _Narcisse16  Deg : 1  Max weight : [('tsbcqui', 20)]
Id : tsbcqui  Deg : 14  Max weight : [('_Narcisse16', 20), ('DBoucedra', 14)]
Id : nvfertiti  Deg : 5  Max weight : [('sempiterneIIe', 11)]
Id : arzugsss  Deg : 9  Max weight : [('pvmgl1', 11)]
Id : annievandenber2  Deg : 42  Max weight : [('jenny68119220', 16)]
Id : jenny68119220  Deg : 66  Max weight : [('annievandenber2', 16), ('Daantje29081965', 12)]
Id : Tsuna11k  Deg : 43  Max weight : [('Lk_Etina', 13)]
Id : jeroen_bergers  Deg : 13  Max weight : [('jeroen_bergers', 18)]
Id : akeloush  Deg : 15  Max weight : [('Nazim_mkt', 20)]
Id : eatmycutefart  Deg : 15  Max weight : [('cwetudidthere', 12)]
Id : Blondy_Hzl  Deg : 27  Max weight : [('Blondy_Hzl', 16)]
Id : quisthoudt  Deg : 26  Max weight : [('fff007', 18), ('DjeeDeeBee', 37)]
Id : Myaaaa99  Deg : 13  Max weight : [('isk774', 18), ('Myaaaa99', 16)]
Id : ANSODONDEYNE  Deg : 14  Max weight : [('ANSODONDEYNE', 24)]
Id : jgp999c  Deg : 16  Max weight : [('SchwarzwaldSoze', 15)]
Id : Katastroof  Deg : 16  Max weight : [('DjeeDeeBee', 16)]
Id : arindamlfc11  Deg : 1  Max weight : [('ArminCFC_', 11)]
Id : twobluecats  Deg : 38  Max weight : [('twobluecats', 12)]
Id : welnabis  Deg : 11  Max weight : [('welnabis', 18)]
Id : mucaHITLER  Deg : 30  Max weight : [('so_turkish', 23), ('mucaHITLER', 12)]
Id : so_turkish  Deg : 1  Max weight : [('mucaHITLER', 23)]
Id : Bendebillmiyom  Deg : 6  Max weight : [('Orko95410095', 17)]
Id : Borehamwood2009  Deg : 2  Max weight : [('Borehamwood2009', 20)]
Id : maruuuusch  Deg : 14  Max weight : [('angeilofabrice', 12)]
Id : eYsnnn_  Deg : 6  Max weight : [('Bonsoiiirr', 12), ('imanebchmr', 20)]
Id : all_sawda  Deg : 21  Max weight : [('_mbd80', 17)]
Id : sisi4248  Deg : 60  Max weight : [('assssiette', 15), ('AnouarMMA', 23)]
Id : ruytero  Deg : 18  Max weight : [('FKeuleneer', 11)]
Id : kronomuzik  Deg : 4  Max weight : [('kronomuzik', 18)]
Id : Cygie  Deg : 2  Max weight : [('Cygie', 24)]
Id : SchwarzwaldSoze  Deg : 1  Max weight : [('jgp999c', 15)]
Id : goodclimate  Deg : 34  Max weight : [('goodclimate', 12)]
Id : _mohaaaaa  Deg : 7  Max weight : [('demslla', 33)]
Id : demslla  Deg : 1  Max weight : [('_mohaaaaa', 33)]
Id : ous920  Deg : 21  Max weight : [('IamDdv', 20), ('_diaraye', 15)]
Id : CDians12  Deg : 15  Max weight : [('_bonyoma', 12), ('kmnmkz', 13)]
Id : Payteer  Deg : 5  Max weight : [('metaburbia', 15)]
Id : metaburbia  Deg : 1  Max weight : [('Payteer', 15)]
Id : mattendspas  Deg : 8  Max weight : [('TaylorLingelser', 16)]
Id : TaylorLingelser  Deg : 1  Max weight : [('mattendspas', 16)]
Id : GrietTobback  Deg : 10  Max weight : [('DjeeDeeBee', 38)]
Id : SakZinaa  Deg : 4  Max weight : [('xsharetty', 37)]
Id : mrt_yan_20  Deg : 2  Max weight : [('Kaissseu', 103)]
Id : Kaissseu  Deg : 3  Max weight : [('mrt_yan_20', 103)]
Id : Rhbyoo  Deg : 12  Max weight : [('EliifZn', 11)]
Id : MCabuk777  Deg : 2  Max weight : [('Ali___i', 11)]
Id : Ali___i  Deg : 1  Max weight : [('MCabuk777', 11)]
Id : daf_hoody  Deg : 14  Max weight : [('_kenpach1', 14)]
Id : ceydacbnn  Deg : 10  Max weight : [('senayksl_', 11)]
Id : _diaraye  Deg : 5  Max weight : [('ous920', 15)]
Id : Gingerneer2  Deg : 9  Max weight : [('Gingerneer2', 14)]
Id : SoufianeSRT  Deg : 15  Max weight : [('anousslad', 11)]
Id : NuinZeeland  Deg : 1  Max weight : [('johanhofman', 19)]
Id : cestencorejack  Deg : 20  Max weight : [('pattyleplusbeau', 13)]
Id : loubnaa_zhr  Deg : 19  Max weight : [('loubnaa_zhr', 16), ('bnhltn', 13), ('PasRyn17', 13), ('Billytrz', 11)]
Id : vgvna  Deg : 12  Max weight : [('bryanuai', 11)]
Id : bryanuai  Deg : 7  Max weight : [('vgvna', 11)]
Id : zvli_mathafack  Deg : 7  Max weight : [('Mirayneau', 12)]
Id : angeilofabrice  Deg : 2  Max weight : [('maruuuusch', 12)]
Id : IamDdv  Deg : 4  Max weight : [('ous920', 20)]
Id : polienskie  Deg : 9  Max weight : [('liefdeisdrugs', 11)]
Id : liefdeisdrugs  Deg : 6  Max weight : [('polienskie', 11)]
