Nodes : 20218  Edges : 20328
Highest degree : 157  Highest weight : 116
Id : VolkmerClaire   	Deg : 1 	Best weight(s) : [('feefe21', 46)]
Id : parkinxsss      	Deg : 18 	Best weight(s) : [('mochiiiarmy', 13), ('peach_baee', 23), ('nahaapnl', 14)]
Id : Mvqiikz         	Deg : 32 	Best weight(s) : [('baesssic', 12)]
Id : johnrallan      	Deg : 27 	Best weight(s) : [('SandyxB', 11)]
Id : 00siris         	Deg : 31 	Best weight(s) : [('00siris', 28), ('rayandouly', 14), ('daddyspv', 11), ('21tired', 12)]
Id : g__krs          	Deg : 19 	Best weight(s) : [('p_xhenii', 11)]
Id : chk_yaaas       	Deg : 15 	Best weight(s) : [('tsbcqui', 12)]
Id : RbjRayan        	Deg : 8 	Best weight(s) : [('MugiwaraPrb', 13)]
Id : MugiwaraPrb     	Deg : 8 	Best weight(s) : [('RbjRayan', 13)]
Id : iz_1030         	Deg : 5 	Best weight(s) : [('rif1083', 16), ('hxavxn954', 19)]
Id : rif1083         	Deg : 18 	Best weight(s) : [('iz_1030', 16), ('hxavxn954', 11)]
Id : minii_younees   	Deg : 7 	Best weight(s) : [('mb_hsm', 16)]
Id : akm54_          	Deg : 8 	Best weight(s) : [('franchementyes', 29)]
Id : mentaaality     	Deg : 15 	Best weight(s) : [('Zakariya_zkn', 11)]
Id : ArabiannWomen   	Deg : 23 	Best weight(s) : [('OthmanLine', 14), ('H_sakuraaaa', 12)]
Id : Imane_Inspirits 	Deg : 13 	Best weight(s) : [('vie_dwam', 16)]
Id : vie_dwam        	Deg : 8 	Best weight(s) : [('Imane_Inspirits', 16), ('sanosens', 13), ('vie_dwam', 16)]
Id : soojll          	Deg : 4 	Best weight(s) : [('bnhltn', 11)]
Id : babygirlxxxxx_  	Deg : 79 	Best weight(s) : [('tropicocox', 12), ('DisSlaughterBoi', 18)]
Id : bouyahyi62      	Deg : 29 	Best weight(s) : [('bouyahyi62', 30)]
Id : pevdmeer        	Deg : 12 	Best weight(s) : [('pevdmeer', 20), ('ThomasRotthier', 12)]
Id : Bonsoiiirr      	Deg : 10 	Best weight(s) : [('_szvs_', 34)]
Id : CaaacheLaBeuuh  	Deg : 19 	Best weight(s) : [('bougressehihi', 20), ('fynlazone', 15)]
Id : MarsSailor_     	Deg : 12 	Best weight(s) : [('MarsSailor_', 34)]
Id : selma1070       	Deg : 27 	Best weight(s) : [('tshadoking', 11)]
Id : tshadoking      	Deg : 1 	Best weight(s) : [('selma1070', 11)]
Id : sisi4248        	Deg : 52 	Best weight(s) : [('Zakariya_zkn', 12), ('MaadameBass', 13)]
Id : Yaa193          	Deg : 9 	Best weight(s) : [('mufassaaaaaaa', 11)]
Id : 01net           	Deg : 2 	Best weight(s) : [('santra_1', 13)]
Id : OthmanLine      	Deg : 35 	Best weight(s) : [('ArabiannWomen', 14), ('llmwy', 28), ('shtyts17', 26), ('cocobebekaki', 15), ('bichardinho', 16), ('bkl_imane', 23), ('al19TK', 15), ('OthmanLine', 34), ('lomencheko', 12), ('whynothn', 11)]
Id : neufcent1       	Deg : 1 	Best weight(s) : [('ElHajjHagop8', 116)]
Id : jevxdupoulett   	Deg : 22 	Best weight(s) : [('MocroSpow', 20), ('jsspastimidefrr', 14), ('YasmineLLLI', 16), ('isk774', 13)]
Id : MocroSpow       	Deg : 1 	Best weight(s) : [('jevxdupoulett', 20)]
Id : Shwpss          	Deg : 18 	Best weight(s) : [('Lave_Vitre', 13), ('RaqFernandezH', 17), ('MJakaMuzan', 15)]
Id : Lave_Vitre      	Deg : 1 	Best weight(s) : [('Shwpss', 13)]
Id : PasRyn17        	Deg : 29 	Best weight(s) : [('zz1o80', 14)]
Id : DioCyni         	Deg : 20 	Best weight(s) : [('kdojah06_kdo', 12)]
Id : Rda_zk          	Deg : 19 	Best weight(s) : [('MesutOthman', 25), ('moha_zubayr', 13)]
Id : MesutOthman     	Deg : 2 	Best weight(s) : [('Rda_zk', 25)]
Id : _hnd19          	Deg : 6 	Best weight(s) : [('bougressehihi', 48), ('arzugsss', 12)]
Id : Zakariya_zkn    	Deg : 4 	Best weight(s) : [('mentaaality', 11), ('sisi4248', 12)]
Id : yashrchn        	Deg : 26 	Best weight(s) : [('anysmsd', 11), ('c_trespv', 15), ('yashrchn', 24)]
Id : MayssaThr       	Deg : 6 	Best weight(s) : [('Ibraaaaabhjjjj', 28)]
Id : ilhmm_l         	Deg : 26 	Best weight(s) : [('ilhmm_l', 46)]
Id : lyne_bt         	Deg : 27 	Best weight(s) : [('CDians12', 15)]
Id : isk774          	Deg : 8 	Best weight(s) : [('jevxdupoulett', 13)]
Id : jsspastimidefrr 	Deg : 20 	Best weight(s) : [('jevxdupoulett', 14)]
Id : jazzyyrk2       	Deg : 20 	Best weight(s) : [('ShisoNoKyojin_', 13), ('maissamrtz', 24)]
Id : ShisoNoKyojin_  	Deg : 11 	Best weight(s) : [('jazzyyrk2', 13)]
Id : Pokeconne       	Deg : 31 	Best weight(s) : [('Pokeconne', 24)]
Id : mochiiiarmy     	Deg : 1 	Best weight(s) : [('parkinxsss', 13)]
Id : oukhtyenroller  	Deg : 23 	Best weight(s) : [('WissemRatel', 17), ('oukhtyenroller', 18)]
Id : llmwy           	Deg : 3 	Best weight(s) : [('OthmanLine', 28)]
Id : moumoux2_0      	Deg : 27 	Best weight(s) : [('inconit05', 11), ('0ass__', 12), ('cestadil', 11), ('__okmany', 11), ('Loindumondeeee', 13)]
Id : inconit05       	Deg : 2 	Best weight(s) : [('moumoux2_0', 11)]
Id : cestadil        	Deg : 15 	Best weight(s) : [('_Lnbj', 24), ('moumoux2_0', 11), ('Leyyyy_l', 23), ('cestadil', 16)]
Id : GuitarmoogMusic 	Deg : 20 	Best weight(s) : [('GuitarmoogMusic', 16)]
Id : dontsayeverythi 	Deg : 4 	Best weight(s) : [('BFMTV', 12)]
Id : BFMTV           	Deg : 7 	Best weight(s) : [('dontsayeverythi', 12)]
Id : zoweetjewel     	Deg : 13 	Best weight(s) : [('zoweetjewel', 12)]
Id : MaadameBass     	Deg : 44 	Best weight(s) : [('sisi4248', 13)]
Id : Onnawi          	Deg : 25 	Best weight(s) : [('JeSuisPlusUnBot', 17)]
Id : JTfrancais      	Deg : 5 	Best weight(s) : [('JTfrancais', 18)]
Id : wolfdestiel     	Deg : 10 	Best weight(s) : [('wolfdestiel', 24), ('tomgd_', 13)]
Id : mb_hsm          	Deg : 28 	Best weight(s) : [('DanBns12', 13), ('minii_younees', 16), ('asmae_ahh', 11)]
Id : DanBns12        	Deg : 6 	Best weight(s) : [('mb_hsm', 13)]
Id : kronomuzik      	Deg : 18 	Best weight(s) : [('kronomuzik', 12)]
Id : Mikeezer        	Deg : 11 	Best weight(s) : [('tsbcqui', 30), ('mikasadl', 16)]
Id : VagabondChronic 	Deg : 33 	Best weight(s) : [('VagabondChronic', 12)]
Id : all_sawda       	Deg : 19 	Best weight(s) : [('Mae_or_whateva', 18), ('mahmoudlachevre', 22)]
Id : claussibraun    	Deg : 30 	Best weight(s) : [('cranfan84', 11)]
Id : RaqFernandezH   	Deg : 6 	Best weight(s) : [('Shwpss', 17)]
Id : BDeheselle      	Deg : 7 	Best weight(s) : [('KjsIrma', 19)]
Id : KjsIrma         	Deg : 2 	Best weight(s) : [('BDeheselle', 19)]
Id : Chat3al         	Deg : 32 	Best weight(s) : [('Chat3al', 12), ('TheTurkish61_', 12), ('_hjrrrrr_', 13), ('zoe_srtll', 12), ('wewecdjena', 16)]
Id : WK44_           	Deg : 12 	Best weight(s) : [('En1iid', 14), ('SaidEsko', 12)]
Id : En1iid          	Deg : 2 	Best weight(s) : [('WK44_', 14)]
Id : tbuytaer        	Deg : 12 	Best weight(s) : [('tbuytaer', 26)]
Id : nawallisimbi    	Deg : 7 	Best weight(s) : [('MehdiZeriouh', 18)]
Id : KiseGS          	Deg : 17 	Best weight(s) : [('SAIKENNNN', 14)]
Id : cosimomang      	Deg : 1 	Best weight(s) : [('Miss_FrancyM', 13)]
Id : MnaSkk          	Deg : 2 	Best weight(s) : [('fayaa__a', 21)]
Id : fayaa__a        	Deg : 4 	Best weight(s) : [('MnaSkk', 21)]
Id : hxavxn954       	Deg : 3 	Best weight(s) : [('iz_1030', 19), ('rif1083', 11)]
Id : MangabaMG       	Deg : 7 	Best weight(s) : [('Lt2Gustavo', 17)]
Id : GpYass          	Deg : 16 	Best weight(s) : [('franchementyes', 16)]
Id : amchom_         	Deg : 4 	Best weight(s) : [('mkhatafi', 18)]
Id : Mirayneau       	Deg : 6 	Best weight(s) : [('zybb_bntt', 21)]
Id : souli_raymond   	Deg : 9 	Best weight(s) : [('souli_raymond', 28)]
Id : p_xhenii        	Deg : 8 	Best weight(s) : [('g__krs', 11)]
Id : n1iiss          	Deg : 15 	Best weight(s) : [('2sang12mnk', 12)]
Id : 2sang12mnk      	Deg : 1 	Best weight(s) : [('n1iiss', 12)]
Id : appolo007       	Deg : 35 	Best weight(s) : [('CNNnewsroom', 13)]
Id : CNNnewsroom     	Deg : 1 	Best weight(s) : [('appolo007', 13)]
Id : imanchoupette   	Deg : 14 	Best weight(s) : [('imanchoupette', 14)]
Id : __yajirushi     	Deg : 9 	Best weight(s) : [('widadhsn', 16)]
Id : zakya_ryn       	Deg : 14 	Best weight(s) : [('zakya_ryn', 18), ('xela_wy', 13)]
Id : B2oubsi         	Deg : 8 	Best weight(s) : [('B2oubsi', 26)]
Id : HamzaMajjaoui   	Deg : 39 	Best weight(s) : [('Ratchatsuki', 14), ('morrocangirll', 20), ('_hjrrrrr_', 14), ('KessouSarah', 12)]
Id : Ratchatsuki     	Deg : 1 	Best weight(s) : [('HamzaMajjaoui', 14)]
Id : dounia_brm      	Deg : 3 	Best weight(s) : [('meliacss', 15)]
Id : ChronicallyAP   	Deg : 28 	Best weight(s) : [('ChronicallyAP', 20)]
Id : tomgd_          	Deg : 1 	Best weight(s) : [('wolfdestiel', 13)]
Id : ChamiRdr        	Deg : 10 	Best weight(s) : [('ChamiRdr', 42)]
Id : cocobebekaki    	Deg : 1 	Best weight(s) : [('OthmanLine', 15)]
Id : anysmsd         	Deg : 10 	Best weight(s) : [('yashrchn', 11)]
Id : yxsmnlfd        	Deg : 4 	Best weight(s) : [('slasherfun', 16)]
Id : slasherfun      	Deg : 1 	Best weight(s) : [('yxsmnlfd', 16)]
Id : WissemRatel     	Deg : 34 	Best weight(s) : [('oukhtyenroller', 17)]
Id : rayandouly      	Deg : 9 	Best weight(s) : [('00siris', 14)]
Id : lacatchat       	Deg : 1 	Best weight(s) : [('Mrs_Bentos', 11)]
Id : mufassaaaaaaa   	Deg : 6 	Best weight(s) : [('Yaa193', 11)]
Id : bichardinho     	Deg : 13 	Best weight(s) : [('OthmanLine', 16), ('bichardinho', 20)]
Id : Stelladorangee  	Deg : 14 	Best weight(s) : [('tsbcqui', 17)]
Id : mh_bna          	Deg : 6 	Best weight(s) : [('tsbcqui', 50)]
Id : elinorkrf       	Deg : 12 	Best weight(s) : [('BlacknowanSng', 22)]
Id : tckwahn         	Deg : 2 	Best weight(s) : [('tsbcqui', 28)]
Id : clipartghost    	Deg : 25 	Best weight(s) : [('clipartghost', 20)]
Id : sanosens        	Deg : 7 	Best weight(s) : [('vie_dwam', 13)]
Id : ClarkeMicah     	Deg : 1 	Best weight(s) : [('ApplePip1', 11)]
Id : zybb_bntt       	Deg : 8 	Best weight(s) : [('Mirayneau', 21)]
Id : VicWest18       	Deg : 1 	Best weight(s) : [('01ivi3r1u6', 41)]
Id : peach_baee      	Deg : 1 	Best weight(s) : [('parkinxsss', 23)]
Id : gakioosama      	Deg : 4 	Best weight(s) : [('sekoyaskuhskuh', 17)]
Id : sekoyaskuhskuh  	Deg : 2 	Best weight(s) : [('gakioosama', 17)]
Id : widadhsn        	Deg : 18 	Best weight(s) : [('__yajirushi', 16)]
Id : Incertaiine     	Deg : 1 	Best weight(s) : [('ElHajjHagop8', 61)]
Id : Leiiilaa__      	Deg : 8 	Best weight(s) : [('Leiiilaa__', 12)]
Id : _Lnbj           	Deg : 2 	Best weight(s) : [('cestadil', 24)]
Id : FernandaSousa_1 	Deg : 4 	Best weight(s) : [('VastGG', 14)]
Id : VastGG          	Deg : 2 	Best weight(s) : [('FernandaSousa_1', 14)]
Id : emr1k80         	Deg : 9 	Best weight(s) : [('bougressehihi', 20)]
Id : chaimajoo       	Deg : 16 	Best weight(s) : [('amiramonkey', 17)]
Id : Nazim_mkt       	Deg : 16 	Best weight(s) : [('ghost243_', 13)]
Id : mqlf212         	Deg : 12 	Best weight(s) : [('ADM_B10', 11)]
Id : YasmineLLLI     	Deg : 8 	Best weight(s) : [('jevxdupoulett', 16)]
Id : loubnaa_zhr     	Deg : 9 	Best weight(s) : [('bnhltn', 22)]
Id : morrocangirll   	Deg : 1 	Best weight(s) : [('HamzaMajjaoui', 20)]
Id : fffbns          	Deg : 7 	Best weight(s) : [('bougressehihi', 13)]
Id : Tovarichlama    	Deg : 6 	Best weight(s) : [('Tovarichlama', 12)]
Id : DiegoBeghin     	Deg : 12 	Best weight(s) : [('DiegoBeghin', 22)]
Id : CloakAIO        	Deg : 1 	Best weight(s) : [('ZiyedDeeyiz', 13)]
Id : Adilluxe        	Deg : 16 	Best weight(s) : [('nirmks', 17), ('hibaa_elm', 11), ('Tahnyetcht', 11)]
Id : kiizmo          	Deg : 5 	Best weight(s) : [('Noooaaaaahhh', 11)]
Id : meliacss        	Deg : 9 	Best weight(s) : [('dounia_brm', 15)]
Id : millekan        	Deg : 2 	Best weight(s) : [('theeo54', 13)]
Id : theeo54         	Deg : 1 	Best weight(s) : [('millekan', 13)]
Id : Mae_or_whateva  	Deg : 2 	Best weight(s) : [('all_sawda', 18)]
Id : Mathknight_     	Deg : 1 	Best weight(s) : [('Genivsqt', 15)]
Id : Sedato10        	Deg : 11 	Best weight(s) : [('mowglimba', 11)]
Id : mowglimba       	Deg : 1 	Best weight(s) : [('Sedato10', 11)]
Id : Aahhboon        	Deg : 1 	Best weight(s) : [('Genivsqt', 14)]
Id : sufian19953     	Deg : 8 	Best weight(s) : [('sufian19953', 12)]
Id : RemiGau         	Deg : 5 	Best weight(s) : [('RemiGau', 18)]
Id : cranfan84       	Deg : 1 	Best weight(s) : [('claussibraun', 11)]
Id : goodclimate     	Deg : 25 	Best weight(s) : [('goodclimate', 18)]
Id : GMbayoko        	Deg : 5 	Best weight(s) : [('CadeauMuhay', 12)]
Id : CadeauMuhay     	Deg : 1 	Best weight(s) : [('GMbayoko', 12)]
Id : YoussBkl        	Deg : 3 	Best weight(s) : [('tsbcqui', 14)]
Id : svmr_19         	Deg : 6 	Best weight(s) : [('bnhltn', 11)]
Id : Tahnyetcht      	Deg : 8 	Best weight(s) : [('Adilluxe', 11)]
Id : mucaHITLER      	Deg : 27 	Best weight(s) : [('so_turkish', 11), ('TheTurkish61_', 12)]
Id : imanebchmr      	Deg : 9 	Best weight(s) : [('monsieurselo', 13)]
Id : c_trespv        	Deg : 2 	Best weight(s) : [('yashrchn', 15)]
Id : 0ass__          	Deg : 1 	Best weight(s) : [('moumoux2_0', 12)]
Id : santra_1        	Deg : 10 	Best weight(s) : [('01net', 13)]
Id : ghost243_       	Deg : 27 	Best weight(s) : [('Nazim_mkt', 13)]
Id : CarineK         	Deg : 7 	Best weight(s) : [('CarineK', 36)]
Id : kdojah06_kdo    	Deg : 2 	Best weight(s) : [('DioCyni', 12)]
Id : daddyspv        	Deg : 7 	Best weight(s) : [('00siris', 11)]
Id : Siham_rez       	Deg : 5 	Best weight(s) : [('bkl_imane', 12)]
Id : bkl_imane       	Deg : 3 	Best weight(s) : [('Siham_rez', 12), ('OthmanLine', 23)]
Id : maissamrtz      	Deg : 6 	Best weight(s) : [('jazzyyrk2', 24)]
Id : Noooaaaaahhh    	Deg : 6 	Best weight(s) : [('kiizmo', 11)]
Id : BotElectricity  	Deg : 1 	Best weight(s) : [('BotElectricity', 12)]
Id : peppaaaaaaaapeg 	Deg : 6 	Best weight(s) : [('DorianMargjini', 16)]
Id : DorianMargjini  	Deg : 4 	Best weight(s) : [('peppaaaaaaaapeg', 16)]
Id : _joodiee_       	Deg : 7 	Best weight(s) : [('Wk_zzzz', 15)]
Id : so_turkish      	Deg : 1 	Best weight(s) : [('mucaHITLER', 11)]
Id : fsailg          	Deg : 3 	Best weight(s) : [('i1_1111', 13)]
Id : i1_1111         	Deg : 1 	Best weight(s) : [('fsailg', 13)]
Id : SandyxB         	Deg : 1 	Best weight(s) : [('johnrallan', 11)]
Id : johanhofman     	Deg : 10 	Best weight(s) : [('dem_toto', 19)]
Id : eatmycutefart   	Deg : 18 	Best weight(s) : [('cwetudidthere', 18)]
Id : cwetudidthere   	Deg : 1 	Best weight(s) : [('eatmycutefart', 18)]
