,user,user_id,location,is_reply_to,reply_id,is_quoted,is_rt,time
64,JonTheGold,295970255,Antwerp,JonTheGold,295970255,False,False,2020-12-30 16:53:58
65,JackyVandecast1,1324290998432878593,Tielt,AstridAajl27,1272218130,False,False,2020-12-30 16:53:54
66,FransVerstrepe2,797418720729645060,Bruges,JRoelstraete,2234798532,False,False,2020-12-30 16:53:49
67,JumpMaaan,3306136005,Brussels,,,True,False,2020-12-30 16:53:36
68,GOENRI,113915864,Ukkel,luisbaram,18465455,False,False,2020-12-30 16:53:31
69,BiancaCvozC1,928260889031200773,Overpelt,BiancaCvozC1,928260889031200773,False,False,2020-12-30 16:53:30
70,FransVerstrepe2,797418720729645060,Bruges,,,False,False,2020-12-30 16:53:24
71,GGabylowskyi,1126862917373169664,Brussels,,,True,False,2020-12-30 16:53:23
72,robersonfsilva1,809005423315611648,Brussels,EduvirgeMarcelo,2432160779,False,False,2020-12-30 16:53:11
73,JonTheGold,295970255,Antwerp,JonTheGold,295970255,False,False,2020-12-30 16:52:44
74,celikbetul75,1107672971366273027,Heusden-Zolder,AvatarfWan,1068243377441906689,False,False,2020-12-30 16:52:42
75,KabongoRichard4,909761210555432960,Mons,Jpmkay,876060719879421952,False,False,2020-12-30 16:52:27
76,trouwschmidt,417752930,Sint-Jans-Molenbeek,,,True,False,2020-12-30 16:52:22
77,pitwo_navarro,766196472,Boom,,,False,False,2020-12-30 16:52:17
78,esthababe,892906675233009664,Sint-Gillis,,,True,False,2020-12-30 16:51:59
79,madalinacazan1,1332004191863255040,Charleroi,,,False,False,2020-12-30 16:51:29
80,mands505,58309149,Brussels,,,False,False,2020-12-30 16:51:11
81,JackyVandecast1,1324290998432878593,Tielt,nicolebus,791547564638232576,False,False,2020-12-30 16:50:50
82,pitwo_navarro,766196472,Boom,Reboot42866829,1112827435018485760,False,False,2020-12-30 16:50:25
83,lenayunjijae,1616033090,Pepinster,lenayunjijae,1616033090,False,False,2020-12-30 16:49:46
84,didiermisson,33331728,Braine-l'Alleud,ArensBrigitte,802081375352406016,False,False,2020-12-30 16:49:43
85,JonTheGold,295970255,Antwerp,,,False,False,2020-12-30 16:49:38
86,dcolsoul,422895699,Waimes,,,False,False,2020-12-30 16:49:31
87,Spiderdimit,74655888,Eghezée,,,False,False,2020-12-30 16:49:17
88,Tw40849232,910809589213474817,Bruges,ClubBrugge,14233933,False,False,2020-12-30 16:49:11
89,Znjeeahamdgmai2,1287415724324118534,Namur,,,False,False,2020-12-30 16:49:08
90,durieudorine,369970228,Poperinge,greendaychick57,83355233,False,False,2020-12-30 16:49:00
91,Kimpy001,277077567,Zoutleeuw,,,False,False,2020-12-30 16:48:55
92,SalembierSteve1,2219195380,Bruges,BartSmet1,776138066671071232,False,False,2020-12-30 16:48:52
93,GOENRI,113915864,Ukkel,Catherinekat4,1244725522032218118,False,False,2020-12-30 16:48:49
94,Ilske14,19152679,Bruges,,,False,False,2020-12-30 16:48:31
95,JJS1157,383756346,Landen,,,True,False,2020-12-30 16:48:08
96,Mattyy__,157307337,Ostend,,,False,False,2020-12-30 16:47:52
97,lenayunjijae,1616033090,Pepinster,atibezen,1000645223356256256,False,False,2020-12-30 16:47:35
98,GOENRI,113915864,Ukkel,SFENorg,1020603728,False,False,2020-12-30 16:46:59
